"#OBSVHA,96,GPS,FINE,2323,120410000,0,0,18,11;0*ab409b9c"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*b1804849"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;10,118530.0,0,34,34,2323,2323,122400.0,2.656049137e+07,3.659438145e-09,-2.196557137e+00,9.4343513483e-03,-2.3773570982e+00,-2.508983016e-06,8.817762136e-06,2.22375000e+02,-4.87812500e+01,2.607703209e-08,-9.499490261e-08,9.8479691121e-01,2.439387325e-10,2.194411473e+00,-7.44459581e-09,34,122400.0,2.328306437e-09,-6.6687819e-05,-9.7770680e-12,0.0000000e+00,TRUE,1.458564564e-04,4.00000000e+00*b0d38726"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;16,118230.0,0,64,64,2323,2323,122400.0,2.655951871e+07,4.489115561e-09,3.043836260e+00,1.3828726136e-02,8.3815972149e-01,3.322958946e-06,8.825212717e-06,2.10156250e+02,6.73437500e+01,-3.166496754e-08,-2.346932888e-07,9.6146068047e-01,2.500104139e-12,-8.620667858e-01,-7.71532137e-09,64,122400.0,-1.024454832e-08,-2.3615919e-04,1.0572876e-11,0.0000000e+00,TRUE,1.458652982e-04,4.00000000e+00*8ff8f6b6"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;18,112590.0,0,86,86,2323,2323,115200.0,2.655964852e+07,4.084098691e-09,-8.877581567e-01,4.3589780107e-03,-3.0467869411e+00,-3.032386303e-06,5.744397640e-06,2.78843750e+02,-5.62187500e+01,1.229345798e-07,-1.527369022e-07,9.7439824666e-01,-2.757257708e-10,1.163854557e+00,-7.96033158e-09,342,115200.0,-8.381903172e-09,-6.3667912e-04,-3.9790393e-12,0.0000000e+00,TRUE,1.458638239e-04,4.00000000e+00*be4ea331"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;23,110160.0,0,112,112,2323,2323,115200.0,2.655953969e+07,3.770514200e-09,-2.107617841e+00,4.3996041641e-03,-2.9645145466e+00,-2.453103662e-06,8.564442396e-06,2.25687500e+02,-4.83125000e+01,-3.911554813e-08,-1.862645149e-09,9.7991624931e-01,2.807259791e-10,2.165243736e+00,-7.59817364e-09,624,115200.0,-8.381903172e-09,2.7416367e-04,8.8675733e-12,0.0000000e+00,TRUE,1.458644068e-04,4.00000000e+00*b551ea90"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,12;26,110160.0,0,52,52,2323,2323,115200.0,2.656030472e+07,5.225931967e-09,2.930462883e+00,8.9580480708e-03,5.4139663354e-01,2.900138497e-06,9.046867490e-06,1.90093750e+02,5.60312500e+01,-8.381903172e-08,-1.210719347e-07,9.3063840240e-01,-5.178787146e-11,-1.030332701e+00,-8.11248077e-09,52,115200.0,6.519258022e-09,1.1962419e-04,-6.9348971e-12,0.0000000e+00,TRUE,1.458595603e-04,4.00000000e+00*e1f724a0"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,13;27,118230.0,0,13,13,2323,2323,122384.0,2.656043612e+07,4.705553148e-09,2.165906444e+00,1.2533454108e-02,7.9740338703e-01,2.715736628e-06,4.595145583e-06,2.91468750e+02,5.68125000e+01,-1.937150955e-07,-1.881271601e-07,9.6175398969e-01,2.071514858e-11,9.006215968e-02,-8.11890961e-09,13,122384.0,1.862645149e-09,-3.1158794e-05,-9.0949470e-13,0.0000000e+00,TRUE,1.458579575e-04,4.00000000e+00*a1297558"
"#GPSEPHA,96,GPS,FINE,2323,120410000,0,0,18,13;32,118440.0,0,18,18,2323,2323,122400.0,2.656056020e+07,4.410183702e-09,2.826738970e+00,7.7841085149e-03,-2.1311149001e+00,-7.394701242e-07,6.994232535e-06,2.43843750e+02,-1.53125000e+01,6.332993507e-08,-8.754432201e-08,9.6261915067e-01,3.128701752e-10,-3.053408148e+00,-7.80889670e-09,18,122400.0,9.313225746e-10,-6.1205495e-04,1.9326762e-12,0.0000000e+00,TRUE,1.4585663,120430000,0,0,18,15;31,TRUE,TRUE,0,0,0,0,0,0,107,0,59,111600,5.44061165e+03,3.1637e-09,-1.73505412e+00,3.056117566e-04,-1.661088642e+00,4.4722e-06,9.2089e-06,1.470e+02,9.453e+01,-2.9802e-08,-1.8626e-08,9.655037837e-01,-3.5001e-11,-8.978343121e-01,-5.45236997e-09,111600,-2.940528793e-05,-1.179501e-12,0.0e+00,111600,-2.940493869e-05,-1.165290e-12,0.0e+00,4.191e-09,3.958e-09*d6a3469e"
"#GALEPHA,96,GPS,FINE,2323,120430000,0,0,18,15;33,FALSE,TRUE,0,0,0,0,0,0,107,0,70,118200,5.44061077e+03,2.5090e-09,-1.78005413e-01,2.076766687e-04,2.604523282e+00,-4.9658e-06,4.7050e-06,2.580e+02,-1.015e+02,2.0489e-08,1.3039e-08,9.999630107e-01,-3.2966e-10,1.194214825e+00,-5.47272796e-09,0,0.000000000e+00,0.000000e+00,0.0e+00,118200,1.377175795e-05,3.126388e-13,0.0e+00,-5.122e-09,-6.519e-09*9f4dce5a"
"#OBSVMA,96,GPS,FINE,2323,120431000,0,0,18,11;23,0,10,21474215.523,-112847754.799790,301,330,-2082.620,3165,0,15.010,00181c43,0,10,21474212.979,-87933311.660021,659,1600,-1622.752,1934,0,0.000,0538104b,0,10,21474206.195,-84269397.095847,783,1600,-1555.529,1857,0,0.000,01d0104b,0,27,20924383.803,-109958363.862633,11,55,-2202.442,4922,0,2223.010,00181c63,0,27,20924394.022,-85681856.222354,22,78,-1716.193,4462,0,2220.010,05381c63,0,27,20924385.815,-82111760.173078,9,64,-1644.668,4612,0,2220.010,01d01c63,0,32,22558033.936,-118543252.614769,632,601,1574.606,2901,0,4.010,00181cc3,0,32,22558055.399,-92371467.527193,575,699,1226.548,2742,0,2.010,05381cc3,0,32,22558040.591,-88522595.501014,489,1600,1175.574,2037,0,0.000,01d010cb,3,39,20131084.515,-107423346.356106,24,78,2614.859,4487,0,813.010,00191c63,3,39,20131087.873,-83551404.348997,30,87,2033.817,4359,0,239.010,00b91c63,9,61,20759921.447,-111012874.268948,28,92,-1895.141,4234,0,566.010,00191c83,9,61,20759921.924,-86343205.617748,62,115,-1473.971,4107,0,1178.010,00b91c83,0,19,22220813.229,-115709617.799336,9,57,481.633,4747,0,2221.010,001c1c23,0,19,22220808.762,-94023520.809912,4,52,391.298,4892,0,2221.010,02a41c23,0,29,23836118.266,-124120902.626520,188,323,-2340.739,3271,0,74.010,001c1c43,0,29,23836103.904,-100858356.763089,772,1600,-1902.499,2403,0,0.000,02a4104b,0,20,24254118.798,-126297561.681087,669,1600,-2298.309,1970,0,0.000,001c1067,0,22,23823475.220,-124055111.170078,31,82,3153.499,4472,0,1642.010,001c1da3,0,22,23823474.284,-100804995.202756,4,52,2562.452,4984,0,1856.010,02a41da3,0,24,26127573.682,-137301303.319268,55,130,-2744.930,3768,0,491.010,005b1c23,0,24,26127581.276,-102530193.074383,20,104,-2049.938,3921,0,2223.000,01931c23,0,24,26127575.331,-105204880.239034,19,105,-2103.168,3881,0,2223.000,02331c23*127f5530"
"#OBSVHA,96,GPS,FINE,2323,120431000,0,0,18,12;0*d3522493"
"#OBSVMA,96,GPS,FINE,2323,120432000,0,0,18,11;23,0,10,21474611.991,-112849838.044814,325,364,-2083.419,3114,0,16.010,00181c43,0,10,21474611.763,-87934945.293928,618,1600,-1624.227,1723,0,0.000,0538104b,0,10,21474602.537,-84270953.474003,747,1600,-1557.094,1889,0,0.000,01d0104b,0,27,20924802.984,-109960566.676444,11,55,-2203.230,4921,0,2224.010,00181c63,0,27,20924813.273,-85683572.698456,24,79,-1716.758,4447,0,2221.010,05381c63,0,27,20924804.975,-82113405.125934,9,63,-1645.305,4620,0,2221.010,01d01c63,0,32,22557735.320,-118541679.065137,517,495,1573.438,2977,0,5.010,00181cc3,0,32,22557756.113,-92370241.341961,470,541,1226.106,2761,0,3.010,05381cc3,0,32,22557741.746,-88521422.760610,496,1600,1173.987,2015,0,0.000,01d010cb,3,39,20130594.399,-107420731.944554,29,79,2613.843,4502,0,814.010,00191c63,3,39,20130597.893,-83549370.923290,29,87,2033.012,4349,0,240.010,00b91c63,9,61,20760275.906,-111014769.682998,30,93,-1895.694,4227,0,567.010,00191c83,9,61,20760276.444,-86344679.832708,57,113,-1474.435,4100,0,1179.010,00b91c83,0,19,22220720.820,-115709136.631651,8,56,480.700,4759,0,2222.010,001c1c23,0,19,22220716.388,-94023129.819880,4,52,390.606,4888,0,2222.010,02a41c23,0,29,23836567.831,-124123243.659491,223,264,-2341.582,3272,0,75.010,001c1c43,0,29,23836555.192,-100860265.830134,782,1600,-1903.465,2436,0,0.000,02a4104b,0,20,24254562.794,-126299873.268228,627,1600,-2300.936,1911,0,0.000,001c1067,0,22,23822869.730,-124051957.990633,31,81,3152.828,4486,0,1643.010,001c1da3,0,22,23822868.742,-100802432.978468,4,52,2561.982,4982,0,1857.010,02a41da3,0,24,26128096.089,-137304048.635591,46,128,-2745.550,3745,0,492.010,005b1c23,0,24,26128103.720,-102532243.139092,21,104,-2050.330,3937,0,2224.000,01931c23,0,24,26128097.770,-105206983.802112,19,106,-2103.749,3873,0,2224.000,02331c23*774dd469"
"#OBSVHA,96,GPS,FINE,2323,120432000,0,0,18,11;0*f8dc2e38"
"#GPSEPHA,96,GPS,FINE,2323,120432000,0,0,18,12;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*550829b9"
