"#OBSVHA,96,GPS,FINE,2323,130228000,0,0,18,15;0*e7db7048"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,15;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*0cb8193c"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,15;2,129600.0,0,106,106,2323,2323,136800.0,2.656058792e+07,4.511616498e-09,-1.873219288e+00,1.6001350479e-02,-1.1609621807e+00,-2.088025212e-06,4.744157195e-06,2.92437500e+02,-4.74062500e+01,-1.192092896e-07,4.023313522e-07,9.6714139618e-01,-1.546492989e-10,1.060889880e+00,-8.09712299e-09,106,136800.0,-1.769512892e-08,-3.9855065e-04,7.3896445e-12,0.0000000e+00,TRUE,1.458565133e-04,4.00000000e+00*ecd329bf"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,16;3,122670.0,0,101,101,2323,2323,129600.0,2.656056965e+07,3.898019511e-09,-1.926801941e-01,5.6772230892e-03,1.1236491619e+00,-2.466142178e-06,8.355826139e-06,2.30125000e+02,-4.81875000e+01,-1.862645149e-09,7.264316082e-08,9.8514353941e-01,8.643217168e-11,2.196916952e+00,-7.77925261e-09,101,129600.0,1.396983862e-09,4.5899535e-04,1.6484591e-11,0.0000000e+00,TRUE,1.458560501e-04,4.00000000e+00*559d1b3f"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,16;4,129600.0,0,209,209,2323,2323,136800.0,2.656083386e+07,4.472686305e-09,-2.401646632e+00,2.8953765286e-03,-2.9727852534e+00,-7.245689631e-07,7.091090083e-06,2.45125000e+02,-1.32812500e+01,-1.117587090e-08,1.303851604e-08,9.6558540725e-01,1.875078105e-10,-3.008448965e+00,-7.89818613e-09,465,136800.0,-4.656612873e-09,4.0427921e-04,7.7307050e-12,0.0000000e+00,TRUE,1.458544485e-04,4.00000000e+00*83d3e2d6"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,16;8,129600.0,0,114,114,2323,2323,136800.0,2.656018684e+07,4.922347893e-09,-2.069163806e+00,9.5062786713e-03,3.6637175695e-01,2.896413207e-06,4.043802619e-06,2.98281250e+02,6.16562500e+01,5.401670933e-08,-1.806765795e-07,9.5273221193e-01,2.182233756e-10,6.306794324e-02,-8.35106214e-09,114,136800.0,4.656612873e-09,2.7536973e-04,1.6257218e-11,0.0000000e+00,TRUE,1.458602277e-04,7.84000000e+00*a10f642a"
"#GPSEPHA,96,GPS,FINE,2323,130228000,0,0,18,16;10,123240.0,0,39,39,2323,2323,129600.0,2.656049843e+07,3.797301030e-09,-1.146354887e+00,9.4341142103e-03,-2.3773935820e+00,-2.743676305e-06,9.022653103e-06,2.18968750e+02,-5.04062500e+01,2.682209015e-07,9.872019291e-08,9.8479743494e-01,6.321691895e-11,2.194358484e+00,-7.64424698e-09,39,12960028e-04,4.00000000e+00*013d739c"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;22,130200.0,0,1,1,2323,2323,129600.0,2.790613747e+07,3.401570260e-09,6.897629836e-01,6.9676362909e-04,4.5547767437e-01,-1.535285264e-06,8.151866496e-06,2.05312500e+02,-3.22500000e+01,-2.700835466e-08,4.237517715e-08,9.7844318150e-01,2.732256667e-10,2.689269784e+00,-6.49098466e-09,1,129600.0,1.360000000e-08,1.360000000e-08,6.13132e-05,1.20828e-11,0.00000e+00,TRUE,1.354347785e-04,4.00000000e+00*803529e4"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;29,122940.0,0,1,1,2323,2323,122400.0,2.790604866e+07,4.102313735e-09,1.103958820e+00,2.3367768154e-04,1.9846551156e+00,1.695007086e-07,2.378132194e-06,3.09640625e+02,6.28125000e+00,-3.492459655e-08,4.749745131e-08,9.5653188124e-01,-1.725071856e-10,5.586324344e-01,-7.15315510e-09,1,122400.0,-3.000000000e-10,-3.000000000e-10,3.08469e-04,5.12124e-12,0.00000e+00,TRUE,1.354361257e-04,4.00000000e+00*0c1a6869"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;30,111630.0,0,1,1,2323,2323,111600.0,2.790600290e+07,4.000880938e-09,1.608331485e+00,4.3002609164e-04,8.4118066049e-01,-9.313225746e-09,2.972781658e-06,3.00171875e+02,3.67187500e+00,2.980232239e-08,2.095475793e-08,9.5648750216e-01,-2.442958902e-10,5.591961655e-01,-7.08458082e-09,1,111600.0,-9.800000000e-09,-9.800000000e-09,-1.32617e-04,-1.17160e-11,0.00000e+00,TRUE,1.354363574e-04,4.00000000e+00*e399cf90"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;35,129600.0,0,1,1,2323,2323,129600.0,2.790608895e+07,4.200532112e-09,2.510209367e+00,7.6459511183e-04,6.7560657555e-01,4.079192877e-07,2.307817340e-06,3.12171875e+02,9.25000000e+00,-4.237517715e-08,3.213062882e-08,9.5472183172e-01,-9.321816863e-11,5.602603829e-01,-7.17529888e-09,1,129600.0,-2.800000000e-09,-2.800000000e-09,3.12562e-04,-9.67848e-12,0.00000e+00,TRUE,1.354359307e-04,4.00000000e+00*bde39982"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;44,129600.0,0,1,1,2323,2323,129600.0,2.790606315e+07,4.325537319e-09,1.638734291e+00,6.9183099549e-04,8.4254114651e-01,5.569308996e-07,2.538319677e-06,3.06031250e+02,1.13593750e+01,-2.374872565e-08,6.612390280e-08,9.5206478774e-01,-5.607376427e-11,5.590148061e-01,-7.20422866e-09,1,129600.0,-1.500000000e-09,-1.500000000e-09,5.33661e-04,1.13420e-11,0.00000e+00,TRUE,1.354362435e-04,4.00000000e+00*df2d0c7d"
