ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,38880,2023-09-24 06:34:13.800002,67.93795326544823,21.33438997298431,8504.55545054436,2240943.9690979384,875257.4232920994,5896378.9388921065,-12242,4760,9659,15,-92,190,-229,26,1,74,None
ERRE,PVT,38881,2023-09-24 06:34:14.100002,67.93798696948436,21.334453505194794,8506.14432689378,2240940.3049765904,875258.8560990657,5896381.825291034,-12195,4734,9688,15,-219,260,-214,27,1,74,None
ERRE,PVT,38882,2023-09-24 06:34:14.300002,67.93800947114406,21.334495739135253,8507.1926069117,2240937.8571211044,875259.8038563924,5896383.740743724,-12209,4735,9683,15,-257,124,-159,26,1,71,None
ERRE,PVT,38883,2023-09-24 06:34:14.500002,67.93803197670006,21.33453779244997,8508.23868000892,2240935.4108758606,875260.7440972902,5896385.654313934,-12242,4706,9617,15,-162,17,-61,27,3,73,None
ERRE,PVT,38884,2023-09-24 06:34:14.700002,67.9380544514478,21.334579736700068,8509.287998034302,2240932.970401084,875261.6816725208,5896387.569598485,-12205,4669,9564,15,-4,14,102,27,1,73,None
ERRE,PVT,38885,2023-09-24 06:34:15.000002,67.9380882277985,21.33464248159558,8510.865332205116,2240929.3072882206,875263.0793620154,5896390.448329865,-12184,4656,9643,15,-169,162,190,26,0,73,None
ERRE,PVT,38886,2023-09-24 06:34:15.300002,67.93812206630713,21.33470498896527,8512.455784017962,2240925.646397718,875264.4672054707,5896393.341824511,-12168,4660,9701,15,-380,155,345,24,1,74,None
ERRE,PVT,38887,2023-09-24 06:34:15.500002,67.93814464518448,21.334746567108034,8513.512757656516,2240923.204149793,875265.38757257,5896395.2685698625,-12189,4629,9637,15,-349,64,447,26,2,72,None
ERRE,PVT,38888,2023-09-24 06:34:15.700003,67.9381672188639,21.334788067848358,8514.57342131361,2240920.764875222,875266.305608834,5896397.198516392,-12164,4591,9674,15,-228,11,579,26,1,72,None
ERRE,PVT,38889,2023-09-24 06:34:15.900003,67.93818978353492,21.334829580206847,8515.630132497061,2240918.324907626,875267.2238951237,5896399.124421354,-12156,4584,9697,15,-152,61,604,27,2,74,None
ERRE,PVT,38890,2023-09-24 06:34:16.100003,67.93821236633786,21.334871006764104,8516.687084835134,2240915.884585754,875268.1381722696,5896401.051309825,-12196,4572,9621,15,-114,93,657,26,2,72,None
