ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,2160,2023-07-15 09:14:30.816358,52.582,None,None,30.96,33.25,33.08,52.85,54.44,11.928,403.110,3456.098
ERRE,TEL,2161,2023-07-15 09:14:33.830625,53.556,None,None,30.96,33.25,33.08,53.05,54.44,11.924,290.915,3448.780
ERRE,TEL,2162,2023-07-15 09:14:36.843749,52.582,None,None,30.79,33.25,33.17,52.85,54.44,11.928,287.317,3426.829
ERRE,TEL,2163,2023-07-15 09:14:39.868561,53.069,None,None,30.88,33.17,33.08,52.95,54.54,11.928,288.963,3473.171
ERRE,TEL,2164,2023-07-15 09:14:42.877045,52.095,None,None,30.88,33.25,33.08,53.05,54.75,11.916,288.049,3429.268
ERRE,TEL,2165,2023-07-15 09:14:45.885174,53.069,None,None,30.96,33.17,33.00,52.95,54.75,11.924,290.915,3470.732
ERRE,TEL,2166,2023-07-15 09:14:48.893286,53.556,None,None,30.88,33.17,33.08,53.05,54.65,11.908,415.183,4942.683
ERRE,TEL,2167,2023-07-15 09:14:51.903827,52.095,None,None,30.96,33.25,33.00,52.85,54.75,11.924,286.646,3440.244
ERRE,TEL,2168,2023-07-15 09:14:54.909603,53.556,None,None,30.88,33.34,33.08,52.95,54.65,11.924,287.561,3445.122
ERRE,TEL,2169,2023-07-15 09:14:57.975106,52.582,None,None,30.88,33.17,33.17,53.05,54.54,11.924,288.537,3486.585
ERRE,TEL,2170,2023-07-15 09:15:00.983873,52.095,None,None,30.88,33.17,33.17,53.15,54.44,11.912,287.927,3432.927
ERRE,TEL,2171,2023-07-15 09:15:03.992071,53.556,None,None,30.96,33.17,33.08,52.95,54.44,11.904,425.610,5067.073
ERRE,TEL,2172,2023-07-15 09:15:07.001786,53.069,None,None,30.96,33.25,33.17,52.95,54.54,11.924,290.427,3440.244
ERRE,TEL,2173,2023-07-15 09:15:10.009926,53.069,None,None,30.79,33.25,33.17,52.95,54.44,11.904,444.817,5103.659
ERRE,TEL,2174,2023-07-15 09:15:13.018043,52.095,None,None,30.79,33.17,33.17,53.05,54.54,11.912,364.817,4347.561
ERRE,TEL,2175,2023-07-15 09:15:16.025607,53.069,None,None,30.88,33.17,33.00,52.95,54.65,11.928,297.561,3582.927
ERRE,TEL,2176,2023-07-15 09:15:19.036066,52.582,None,None,30.88,33.17,33.17,52.95,54.65,11.928,289.939,3426.829
ERRE,TEL,2177,2023-07-15 09:15:22.045106,53.069,None,None,30.79,33.25,33.17,53.05,54.54,11.928,287.317,3479.268
ERRE,TEL,2178,2023-07-15 09:15:25.053313,52.582,None,None,30.79,33.25,33.25,53.05,54.65,11.928,288.049,3434.146
ERRE,TEL,2179,2023-07-15 09:15:28.061329,52.582,None,None,30.88,33.17,33.08,53.05,54.34,11.928,286.646,3418.293
ERRE,TEL,2180,2023-07-15 09:15:31.074716,53.069,None,None,30.70,33.17,33.25,53.15,54.65,11.912,364.329,4362.195
ERRE,TEL,2181,2023-07-15 09:15:34.083116,53.069,None,None,30.88,33.17,33.17,53.05,54.65,11.924,290.732,3467.073
ERRE,TEL,2182,2023-07-15 09:15:37.091142,53.069,None,None,30.62,33.08,33.00,52.95,54.65,11.924,287.927,3434.146
ERRE,TEL,2183,2023-07-15 09:15:40.099199,53.556,None,None,30.70,33.08,33.08,52.95,54.75,11.928,291.037,3456.098
ERRE,TEL,2184,2023-07-15 09:15:43.110893,53.556,None,None,30.70,33.00,33.08,52.95,54.65,11.928,288.537,3434.146
ERRE,TEL,2185,2023-07-15 09:15:46.119526,53.069,None,None,30.79,33.08,33.08,52.95,54.65,11.928,290.244,3456.098
ERRE,TEL,2186,2023-07-15 09:15:49.127608,53.556,None,None,30.88,33.17,33.17,53.24,54.65,11.928,288.415,3429.268
ERRE,TEL,2187,2023-07-15 09:15:52.135653,52.582,None,None,30.88,33.08,33.17,53.05,54.65,11.912,367.500,4379.268
ERRE,TEL,2188,2023-07-15 09:15:55.167890,52.095,None,None,30.70,33.08,33.00,52.95,54.54,11.928,286.524,3432.927
ERRE,TEL,2189,2023-07-15 09:15:58.178372,53.069,None,None,30.88,33.08,33.17,53.15,54.44,11.912,367.317,4384.146
ERRE,TEL,2190,2023-07-15 09:16:01.192268,51.608,None,None,30.79,33.08,33.00,53.05,54.44,11.928,286.646,3434.146
ERRE,TEL,2191,2023-07-15 09:16:04.203701,52.582,None,None,30.79,33.25,33.08,53.05,54.44,11.924,290.244,3462.195
ERRE,TEL,2192,2023-07-15 09:16:07.217488,52.095,None,None,30.88,33.25,33.08,52.95,54.65,11.928,288.720,3617.073
ERRE,TEL,2193,2023-07-15 09:16:10.236179,53.069,None,None,30.79,33.17,33.25,53.05,54.34,11.928,290.549,3460.976
ERRE,TEL,2194,2023-07-15 09:16:13.244284,52.582,None,None,30.88,33.17,33.08,52.95,54.44,11.912,286.220,3456.098
ERRE,TEL,2195,2023-07-15 09:16:16.252469,53.069,None,None,30.79,33.17,33.17,53.05,54.44,11.928,289.329,3456.098
ERRE,TEL,2196,2023-07-15 09:16:19.260658,52.582,None,None,30.88,33.08,33.08,53.05,54.44,11.928,289.329,3456.098
ERRE,TEL,2197,2023-07-15 09:16:22.268819,53.069,None,None,30.79,33.17,33.17,52.95,54.34,11.928,290.915,3467.073
ERRE,TEL,2198,2023-07-15 09:16:25.276933,53.069,None,None,30.79,33.00,33.08,52.95,54.44,11.924,284.268,3389.024
ERRE,TEL,2199,2023-07-15 09:16:28.287086,52.095,None,None,30.79,33.25,33.25,52.95,54.34,11.924,290.061,3462.195
ERRE,TEL,2200,2023-07-15 09:16:31.297717,52.582,None,None,30.96,33.17,33.00,52.95,54.34,11.924,290.244,3462.195
ERRE,TEL,2201,2023-07-15 09:16:34.305814,53.069,None,None,30.70,33.17,33.17,52.85,54.24,11.924,288.537,3440.244
ERRE,TEL,2202,2023-07-15 09:16:37.313838,53.069,None,None,30.96,33.25,33.08,52.95,54.34,11.928,288.841,3445.122
ERRE,TEL,2203,2023-07-15 09:16:40.321895,53.069,None,None,30.88,33.08,33.17,52.95,54.34,11.928,288.537,3474.390
ERRE,TEL,2204,2023-07-15 09:16:43.333126,52.582,None,None,30.96,33.17,33.08,52.95,54.34,11.928,285.427,3418.293
ERRE,TEL,2205,2023-07-15 09:16:46.341399,52.095,None,None,30.79,33.25,33.08,52.95,54.34,11.928,290.244,3476.829
ERRE,TEL,2206,2023-07-15 09:16:49.349536,53.069,None,None,30.88,33.25,33.25,52.95,54.24,11.928,286.768,3429.268
ERRE,TEL,2207,2023-07-15 09:16:52.357622,52.095,None,None,30.79,33.08,33.17,53.15,54.34,11.916,367.927,4384.146
ERRE,TEL,2208,2023-07-15 09:16:55.365790,53.069,None,None,30.96,33.25,33.25,52.95,54.34,11.928,293.659,3502.439
ERRE,TEL,2209,2023-07-15 09:16:58.373907,53.556,None,None,30.88,33.08,33.08,52.95,54.24,11.916,367.744,4381.707
ERRE,TEL,2210,2023-07-15 09:17:01.385602,53.556,None,None,30.96,33.17,33.17,53.05,54.24,11.924,285.854,3412.195
ERRE,TEL,2211,2023-07-15 09:17:04.394378,53.069,None,None,30.88,33.08,33.17,52.95,54.24,11.904,414.085,3460.976
ERRE,TEL,2212,2023-07-15 09:17:07.422017,53.069,None,None,30.88,33.08,33.17,52.85,54.24,11.928,285.244,3392.683
ERRE,TEL,2213,2023-07-15 09:17:10.434941,52.095,None,None,30.88,33.25,33.17,52.95,54.24,11.904,418.902,5057.317
ERRE,TEL,2214,2023-07-15 09:17:13.449295,53.069,None,None,30.79,33.17,33.17,52.85,54.24,11.924,287.866,3448.780
ERRE,TEL,2215,2023-07-15 09:17:16.458017,52.582,None,None,30.96,33.25,33.25,52.95,54.34,11.924,290.610,3430.488
ERRE,TEL,2216,2023-07-15 09:17:19.466052,53.556,None,None,30.88,33.17,33.08,52.95,54.24,11.908,363.720,4353.659
ERRE,TEL,2217,2023-07-15 09:17:22.474099,52.582,None,None,30.88,33.25,33.17,53.05,54.24,11.924,287.927,3432.927
ERRE,TEL,2218,2023-07-15 09:17:25.482192,52.582,None,None,30.79,33.25,33.17,52.95,54.24,11.924,289.817,3456.098
ERRE,TEL,2219,2023-07-15 09:17:28.490280,53.069,None,None,30.79,33.25,33.25,52.95,54.14,11.928,286.037,3407.317
ERRE,TEL,2220,2023-07-15 09:17:31.498430,53.069,None,None,30.96,33.17,33.17,52.95,54.14,11.912,367.195,4391.463
ERRE,TEL,2221,2023-07-15 09:17:34.506554,52.582,None,None,30.79,33.08,33.34,52.95,54.04,11.928,284.634,3404.878
ERRE,TEL,2222,2023-07-15 09:17:37.514619,53.556,None,None,30.79,33.00,33.17,52.95,54.14,11.928,288.415,3442.683
ERRE,TEL,2223,2023-07-15 09:17:40.522663,53.556,None,None,30.79,33.17,33.00,52.95,54.24,11.924,285.732,3408.537
ERRE,TEL,2224,2023-07-15 09:17:43.530636,53.556,None,None,30.79,33.08,33.25,52.85,54.14,11.928,289.756,3448.780
ERRE,TEL,2225,2023-07-15 09:17:46.538749,52.095,None,None,30.79,33.08,33.08,52.95,54.14,11.928,286.951,3439.024
ERRE,TEL,2226,2023-07-15 09:17:49.546786,53.556,None,None,30.70,33.00,33.17,52.75,54.14,11.924,355.915,3480.488
ERRE,TEL,2227,2023-07-15 09:17:52.554916,53.069,None,None,30.79,33.25,33.25,52.85,54.24,11.916,364.451,4356.098
ERRE,TEL,2228,2023-07-15 09:17:55.569721,52.582,None,None,30.70,33.08,33.25,52.95,54.24,11.928,288.963,3460.976
ERRE,TEL,2229,2023-07-15 09:17:58.578336,52.095,None,None,30.96,33.17,33.34,52.95,53.94,11.928,288.537,3442.683
ERRE,TEL,2230,2023-07-15 09:18:01.593719,52.582,None,None,30.79,33.00,33.08,52.85,54.14,11.924,288.049,3448.780
ERRE,TEL,2231,2023-07-15 09:18:04.601642,52.582,None,None,30.70,33.00,33.08,52.75,54.04,11.924,288.232,3900.000
